id,tz,sleep_from,sleep_to,sched,hours,rating,comment,framerate,snore,noise,cycles,deepsleep,lenadjust,geo,tags
1680732916520,Europe/Amsterdam,2023-04-06 00:15:00,2023-04-06 08:02:00,2023-04-06 08:10:00,7.79,0.0, #watch #fullmoon     #geo1,10008,60,0.048699904,6,0.39361703,-88,e08d6816,"watch,fullmoon,geo1"
1680647764563,Europe/Amsterdam,2023-04-05 00:36:00,2023-04-05 08:03:00,2023-04-05 08:10:00,7.46,0.0, #watch    #geo1,10008,0,0.027818985,7,0.4,-72,e08d6816,"watch,geo1"
1680562269376,Europe/Amsterdam,2023-04-04 00:51:00,2023-04-04 07:49:00,2023-04-04 08:00:00,6.97,0.0, #auto  #geo1,10008,0,0.0042247125,4,0.89285713,-15,e08d6816,"auto,geo1"
1680473967880,Europe/Amsterdam,2023-04-03 00:19:00,2023-04-03 07:51:00,2023-04-03 08:00:00,7.53,0.0, #watch   #geo1,10008,0,0.060703192,7,0.37362638,-21,e08d6816,"watch,geo1"
1680391888403,Europe/Amsterdam,2023-04-02 01:31:00,2023-04-02 09:20:00,2023-04-02 09:30:00,7.82,0.0, #watch   #geo1,10008,0,0.04914108,6,0.38297874,-49,e08d6816,"watch,geo1"
1680305356758,Europe/Amsterdam,2023-04-01 01:29:00,2023-04-01 09:39:00,2023-04-01 09:00:00,8.16,0.0, #watch    #geo1,10008,30,0.04162504,4,0.375,-27,e08d6816,"watch,geo1"
1680217254856,Europe/Amsterdam,2023-03-31 01:00:00,2023-03-31 07:46:00,2023-03-31 08:00:00,6.76,0.0, #watch      #geo1,10008,1950,0.07095954,5,0.29577097,-28,e08d6816,"watch,geo1"
1680126500721,Europe/Amsterdam,2023-03-29 23:48:00,2023-03-30 08:01:00,2023-03-30 08:10:00,8.23,0.0, #watch    #geo1,10008,30,0.06361223,7,0.3131313,-37,e08d6816,"watch,geo1"
1680042446016,Europe/Amsterdam,2023-03-29 00:27:00,2023-03-29 08:01:00,2023-03-29 07:25:00,7.56,0.0, #watch    #geo1,10008,120,0.04385839,3,0.26373628,-19,e08d6816,"watch,geo1"
1679956612362,Europe/Amsterdam,2023-03-28 00:36:00,2023-03-28 07:53:00,2023-03-28 07:25:00,7.27,0.0, #watch   #geo1,10008,660,0.04852438,6,0.37831202,-59,e08d6816,"watch,geo1"
1679871781724,Europe/Amsterdam,2023-03-27 01:03:00,2023-03-27 08:11:00,2023-03-27 07:25:00,7.14,0.0, #watch     #geo1,10008,60,0.033237092,7,0.39534885,-19,e08d6816,"watch,geo1"
1679786738661,Europe/Amsterdam,2023-03-26 00:25:00,2023-03-26 09:34:00,2023-03-26 10:00:00,8.15,0.0, #watch   #geo1,10008,600,0.06510325,-1,-1.0,-112,e08d6816,"watch,geo1"
1679706431337,Europe/Amsterdam,2023-03-25 02:07:00,2023-03-25 09:44:00,2023-03-25 10:00:00,7.62,0.0, #watch   #geo1,10008,0,0.065942094,5,0.33695653,-24,e08d6816,"watch,geo1"
