id,sleep_year,sleep_month,sleep_week,sleep_day_of_week,sleep_day_of_month,sleep_from,sleep_to,sched,hours,lenadjust,corrected_hours,rating,snore,noise,cycles,deepsleep,geo
1681081214927,2023,04,14,0,09,1.0,8.683333333333334,7.416666666666667,7.69,-21.0,7.340000000000001,0.0,0,0.026548233,8,0.42276046,e08d6816
1680991428128,2023,04,14,6,08,0.05,8.2,7.166666666666667,8.15,-79.0,6.833333333333334,0.0,0,0.10845241,7,0.53125,e08d6816
1680911384546,2023,04,14,5,07,1.8166666666666667,10.2,9.5,8.39,-94.0,6.823333333333334,0.0,0,0.09588126,7,0.35643566,e08d6816
1680821251208,2023,04,14,4,06,0.7833333333333333,8.0,8.0,7.22,-49.0,6.403333333333333,0.0,0,0.050560173,6,0.33333334,e08d36fc
1680732916520,2023,04,14,3,05,0.25,8.033333333333333,8.166666666666666,7.79,-88.0,6.323333333333333,0.0,60,0.048699904,6,0.39361703,e08d6816
1680647764563,2023,04,14,2,04,0.6,8.05,8.166666666666666,7.46,-72.0,6.26,0.0,0,0.027818985,7,0.4,e08d6816
1680562269376,2023,04,14,1,03,0.85,7.816666666666666,8.0,6.97,-15.0,6.72,0.0,0,0.0042247125,4,0.89285713,e08d6816
1680473967880,2023,04,13,0,02,0.31666666666666665,7.85,8.0,7.53,-21.0,7.180000000000001,0.0,0,0.060703192,7,0.37362638,e08d6816
1680391888403,2023,04,13,6,01,1.5166666666666666,9.333333333333334,9.5,7.82,-49.0,7.003333333333334,0.0,0,0.04914108,6,0.38297874,e08d6816
1680305356758,2023,03,13,5,31,1.4833333333333334,9.65,9.0,8.16,-27.0,7.71,0.0,30,0.04162504,4,0.375,e08d6816
1680217254856,2023,03,13,4,30,1.0,7.766666666666667,8.0,6.76,-28.0,6.293333333333333,0.0,1950,0.07095954,5,0.29577097,e08d6816
1680126500721,2023,03,13,3,29,-0.19999999999999996,8.016666666666667,8.166666666666666,8.23,-37.0,7.613333333333333,0.0,30,0.06361223,7,0.3131313,e08d6816
1680042446016,2023,03,13,2,28,0.45,8.016666666666667,7.416666666666667,7.56,-19.0,7.243333333333333,0.0,120,0.04385839,3,0.26373628,e08d6816
